"Orthogroup" "dana_prot" "dmel_prot" "dmoj_prot" "dper_prot" "dpse_prot" "dvir_prot" "dwil_prot" "dyak_prot"
"1" "OG0001849" "YOgnAN00068" "YOgnME05319" "YOgnMO04705" "YOgnPE12263" "YOgnPS05873" "YOgnVI05049" "YOgnWI03317" "YOgnYA02703"
"2" "OG0001851" "YOgnAN00097" "YOgnME15399" "YOgnMO00591" "YOgnPE05594" "YOgnPS12865" "YOgnVI01063" "YOgnWI15373" "YOgnYA12905"
"3" "OG0001853" "YOgnAN00108" "YOgnME14188" "YOgnMO00462" "YOgnPE05494" "YOgnPS12170" "YOgnVI00980" "YOgnWI15194" "YOgnYA13999"
"4" "OG0001854" "YOgnAN00143" "YOgnME16004" "YOgnMO01989" "YOgnPE07568" "YOgnPS12328" "YOgnVI08349" "YOgnWI12009" "YOgnYA14148"
"5" "OG0001855" "YOgnAN00146" "YOgnME16000" "YOgnMO02212" "YOgnPE04032" "YOgnPS13201" "YOgnVI06190" "YOgnWI11808" "YOgnYA14144"
"6" "OG0001856" "YOgnAN00147" "YOgnME15078" "YOgnMO02340" "YOgnPE04033" "YOgnPS13200" "YOgnVI00988" "YOgnWI07352" "YOgnYA14379"
"7" "OG0001858" "YOgnAN00160" "YOgnME16327" "YOgnMO01579" "YOgnPE04047" "YOgnPS13162" "YOgnVI08417" "YOgnWI11815" "YOgnYA14674"
"8" "OG0001859" "YOgnAN00164" "YOgnME16325" "YOgnMO01780" "YOgnPE04435" "YOgnPS13301" "YOgnVI01077" "YOgnWI11892" "YOgnYA14673"
"9" "OG0001860" "YOgnAN00181" "YOgnME15163" "YOgnMO01606" "YOgnPE07946" "YOgnPS12534" "YOgnVI08482" "YOgnWI04036" "YOgnYA13682"
"10" "OG0001861" "YOgnAN00185" "YOgnME15159" "YOgnMO02169" "YOgnPE07953" "YOgnPS12528" "YOgnVI08830" "YOgnWI04039" "YOgnYA13678"
"11" "OG0001862" "YOgnAN00190" "YOgnME14769" "YOgnMO01614" "YOgnPE05529" "YOgnPS12809" "YOgnVI08491" "YOgnWI11913" "YOgnYA13054"
"12" "OG0001863" "YOgnAN00191" "YOgnME14800" "YOgnMO02544" "YOgnPE07667" "YOgnPS13002" "YOgnVI08759" "YOgnWI11462" "YOgnYA13077"
"13" "OG0001864" "YOgnAN00194" "YOgnME14798" "YOgnMO01645" "YOgnPE04158" "YOgnPS12505" "YOgnVI06108" "YOgnWI11256" "YOgnYA13075"
"14" "OG0001865" "YOgnAN00196" "YOgnME16333" "YOgnMO01787" "YOgnPE04159" "YOgnPS12504" "YOgnVI01069" "YOgnWI07575" "YOgnYA13301"
"15" "OG0001867" "YOgnAN00200" "YOgnME16337" "YOgnMO00567" "YOgnPE04163" "YOgnPS12500" "YOgnVI08658" "YOgnWI12081" "YOgnYA13297"
"16" "OG0001869" "YOgnAN00208" "YOgnME15072" "YOgnMO02349" "YOgnPE04170" "YOgnPS12492" "YOgnVI08732" "YOgnWI11813" "YOgnYA13590"
"17" "OG0001870" "YOgnAN00209" "YOgnME15071" "YOgnMO02350" "YOgnPE04171" "YOgnPS12491" "YOgnVI08731" "YOgnWI11814" "YOgnYA13589"
"18" "OG0001871" "YOgnAN00225" "YOgnME14813" "YOgnMO02352" "YOgnPE05384" "YOgnPS10481" "YOgnVI08729" "YOgnWI15470" "YOgnYA13091"
"19" "OG0001872" "YOgnAN00226" "YOgnME03029" "YOgnMO07014" "YOgnPE15838" "YOgnPS00032" "YOgnVI07216" "YOgnWI05357" "YOgnYA04628"
"20" "OG0001873" "YOgnAN00231" "YOgnME09943" "YOgnMO10263" "YOgnPE09351" "YOgnPS10345" "YOgnVI10709" "YOgnWI10929" "YOgnYA08842"
